地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20220201,粟倉橋,小糸川上流,B,1057,流心（中央）,0.12,千葉県,晴れ,7.2,5.4,0.6,0.27,0.07,,7.9,12,0.9,5.3,<1,1.30E+03,,1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.6,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220304,粟倉橋,小糸川上流,B,1224,流心（中央）,0.12,千葉県,晴れ,13.6,10.5,0.64,0.24,0.06,,8.4,11,1,5.3,1,4.90E+02,,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.78,>30.0,,0.82,,,,,,,,,,,,,5.3,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20210510,八千代橋,小糸川下流,C,1140,流心（中央）,0.06,千葉県,快晴,27.2,18.9,0.33,1.38,0.52,,8.2,8.2,1,5.4,4,1.70E+04,,1,0.18,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.6,>30.0,,0.63,,,,,,,,,,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20210712,八千代橋,小糸川下流,C,1105,流心（中央）,0.14,千葉県,晴れ,31.1,23.3,0.28,1.59,0.63,,8.1,7.8,1,4.9,7,4.90E+04,,0.99,0.15,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.55,>30.0,,0.58,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20211104,八千代橋,小糸川下流,C,1020,流心（中央）,0.07,千葉県,晴れ,17.7,14.5,0.37,1.74,0.54,,8.1,9.2,1.2,4.1,6,4.90E+03,,1,0.18,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.62,>30.0,,0.65,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20220105,八千代橋,小糸川下流,C,928,流心（中央）,0.13,千葉県,快晴,5.8,8.7,0.27,0.49,0.23,,8.1,10,1.1,3.5,2,4.90E+03,,1.1,0.21,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.6,>30.0,,0.63,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20210413,人見橋,小糸川下流,C,1008,流心（中央）,0.09,千葉県,薄曇り,19,16.6,0.45,5.73,0.18,,8,8.1,1.2,3.1,7,,,0.7,0.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20210510,人見橋,小糸川下流,C,653,流心（中央）,0.24,千葉県,晴れ,20.3,17.8,1.2,5.08,0.07,,7.9,7,1.3,5.6,15,1.30E+04,,1.4,0.15,0.004,<0.00006,0.0028,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.49,0.03,0.38,>30.0,,0.41,<0.005,,,,,,,0.18,,,,,7.8,,2000,,6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20210609,人見橋,小糸川下流,C,955,流心（中央）,0.2,千葉県,晴れ,26.3,24.6,1,2.8,0.11,,8,7.5,1.9,5.4,10,,,1.1,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10940,20210712,人見橋,小糸川下流,C,1019,流心（中央）,0.29,千葉県,晴れ,30.1,26.2,1.48,4.24,0.07,,8,6.5,1.5,3.7,2,2.30E+04,,0.89,0.1,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.25,>30.0,,0.28,,<0.005,<0.01,<0.1,0.3,<0.02,<0.0006,0.13,,,,,7.7,,3600,,12000,<0.05,<0.002,0.001,,,,,,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,0.008,<0.0002,<0.00004,0.42,0.0025,,,,,,<0.0006,<0.001,<0.1,<0.00007,<0.002,<0.0003
