地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20210907,東京湾　１,東京湾（９）,B,928,上層（表層）,0.5,千葉県,晴れ,23,23,7.6,,,3.3,7.8,4.7,,2.3,,,,0.54,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.16,,,0.19,,,,,,,,0.11,1.4,0.099,1.20E+03,3.5,1.1,1.1,,30.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20210907,東京湾　１,東京湾（９）,B,928,下層,6.6,千葉県,晴れ,23,22.8,7.6,,,3.3,7.8,3.9,,1.9,,,,0.49,0.11,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.16,,,0.18,,,,,,,,0.04,,0.093,,,1.2,1.2,,31.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211005,東京湾　１,東京湾（９）,B,926,上層（表層）,0.5,千葉県,晴れ,25,23.2,7.6,,,1.7,8,9.4,,3.7,,,,1,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.48,,,0.51,,,,,,,,0.02,2.5,0.075,9.20E+03,13,2.1,1.5,,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211005,東京湾　１,東京湾（９）,B,926,下層,6.6,千葉県,晴れ,25,21.9,7.6,,,1.7,8,1.8,,3.3,,,,0.57,0.1,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.12,,,0.15,,,,,,,,0.06,,0.06,,,2.2,1.4,,29.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211116,東京湾　１,東京湾（９）,B,922,上層（表層）,0.5,千葉県,晴れ,14.5,16.6,8.2,,,2.2,7.9,8,,3.2,,2.00E+00,<0.5,0.91,0.1,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.27,,,0.31,,,,,,,,0.11,2,0.05,8.30E+03,16,2.1,1.4,,29.87,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211116,東京湾　１,東京湾（９）,B,922,下層,7.2,千葉県,晴れ,14.5,17.5,8.2,,,2.2,7.9,5.4,,2.3,,,,0.67,0.077,0.003,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.22,,,0.27,,,,,,,,0.12,,0.044,,,1.4,1.1,,30.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211207,東京湾　１,東京湾（９）,B,928,上層（表層）,0.5,千葉県,曇り,12.5,15.1,8.8,,,3.7,7.9,6.8,,2.2,,,,0.8,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.3,,,0.33,,,,,,,,0.15,1.6,0.053,4.40E+02,2.6,1.3,0.9,,30.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20211207,東京湾　１,東京湾（９）,B,928,下層,7.8,千葉県,曇り,12.5,16,8.8,,,3.7,7.9,5.4,,1.4,,,,0.61,0.065,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.23,,,0.26,,,,,,,,0.12,,0.048,,,1.2,0.9,,31.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220111,東京湾　１,東京湾（９）,B,927,上層（表層）,0.5,千葉県,雨,5.5,10.7,8.8,,,4.1,8,9.3,,1.9,,2.00E+00,<0.5,0.63,0.046,0.002,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.049,0.33,,,0.37,<0.005,,,,,,,0.03,1.6,0.028,6.60E+02,7.2,1.2,0.8,,31.91,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220111,東京湾　１,東京湾（９）,B,927,下層,7.8,千葉県,雨,5.5,11.2,8.8,,,4.1,8,9.2,,1.9,,,,0.62,0.047,0.007,<0.00006,<0.0006,9.2,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.33,,,0.37,,,,,,,,0.02,,0.028,,,1.1,0.9,,31.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220201,東京湾　１,東京湾（９）,B,908,上層（表層）,0.5,千葉県,晴れ,4,9.6,8.7,,,3.8,7.9,8.9,,1.9,,,,0.77,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.47,,,0.5,,,,,,,,0.11,1.7,0.038,1.30E+03,5.8,1.3,0.9,,32.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220201,東京湾　１,東京湾（９）,B,908,下層,7.7,千葉県,晴れ,4,11.3,8.7,,,3.8,7.9,7.9,,1.4,,,,0.51,0.047,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,0.024,0.3,,,0.32,,,,,,,,0.07,,0.029,,,1.1,0.8,,32.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220301,東京湾　１,東京湾（９）,B,921,上層（表層）,0.5,千葉県,晴れ,9,10.1,8.4,,,2.8,8.1,11,,2.8,,,,0.73,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.36,,,0.39,,,,,,,,0.01,1.8,0.01,2.00E+03,13,1.7,1,,31.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220301,東京湾　１,東京湾（９）,B,921,下層,7.4,千葉県,晴れ,9,9.7,8.4,,,2.8,8.1,10,,2.5,,,,0.63,0.047,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.25,,,0.27,,,,,,,,<0.01,,0.004,,,1.9,1,,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210413,東京湾　２,東京湾（４）,C,1308,上層（表層）,0.5,千葉県,曇り,17.5,16.6,6.8,,,2.2,8.1,8.6,,3.8,,,,0.75,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.23,,,0.26,,,,,,,,0.07,2.5,0.034,,11,2.7,1.7,,28.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210413,東京湾　２,東京湾（４）,C,1308,下層,5.8,千葉県,曇り,17.5,16,6.8,,,2.2,8.1,7.9,,3.7,,,,0.7,0.075,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,0.033,0.21,,,0.24,,,,,,,,0.07,,0.028,,,2.5,1.8,,29.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210518,東京湾　２,東京湾（４）,C,1302,上層（表層）,0.5,千葉県,曇り,22.5,21.1,6.5,,,1.6,7.8,5.6,,3.4,,1.70E+04,<0.5,1.4,0.13,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,0.41,,,0.47,,,,,,,,0.17,3.2,0.1,,6.1,2,1.9,,25.44,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210518,東京湾　２,東京湾（４）,C,1302,下層,5.5,千葉県,曇り,22.5,21,6.5,,,1.6,7.8,4.1,,3.1,,,,1,0.1,0.005,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.28,,,0.32,,,,,,,,0.23,,0.083,,,1.9,1.7,,27.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210608,東京湾　２,東京湾（４）,C,1247,上層（表層）,0.5,千葉県,晴れ,29,25.5,7,,,1.4,8.5,12,,6.2,,,,0.9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,0.26,,,0.31,,,,,,,,<0.01,4,0.005,,47,2.4,2,,24.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210608,東京湾　２,東京湾（４）,C,1247,下層,6,千葉県,晴れ,29,22.5,7,,,1.4,8.3,6.5,,5.6,,,,0.71,0.088,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.13,,,0.16,,,,,,,,0.05,,0.018,,,2.1,1.8,,27.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210706,東京湾　２,東京湾（４）,C,1310,上層（表層）,0.5,千葉県,曇り,26.5,23.2,7.6,,,3.2,7.8,2.9,,3.8,,4.90E+04,<0.5,1.7,0.2,0.003,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.091,0.47,,,0.56,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.47,2.9,0.17,,4.5,1.9,1.7,,24.69,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210706,東京湾　２,東京湾（４）,C,1310,下層,6.6,千葉県,曇り,26.5,21.7,7.6,,,3.2,7.9,2.3,,2.2,,,,0.71,0.11,0.003,<0.00006,<0.0006,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.076,0.1,,,0.17,,,,,,,,0.03,,0.097,,,1.6,1.3,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210803,東京湾　２,東京湾（４）,C,1454,上層（表層）,0.5,千葉県,晴れ,29,29.7,7.5,,,1.4,8.5,9.1,,5.4,,,,0.43,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,<0.01,,,0.012,,,,,,,,0.01,3.3,0.014,,24,2.9,2.4,,24.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20210803,東京湾　２,東京湾（４）,C,1454,下層,6.5,千葉県,晴れ,29,26.8,7.5,,,1.4,8.3,4.6,,4.7,,,,0.6,0.099,,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.01,,,0.016,,,,,,,,0.16,,0.054,,,2.5,2.4,,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
