地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20220408,粟倉橋,小糸川上流,B,915,流心（中央）,0.12,千葉県,晴れ,17.6,13.4,0.6,0.91,0.23,,8.1,9.7,0.7,5.8,3,,0.95,0.15,,,,,2.70E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.5,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220516,粟倉橋,小糸川上流,B,1058,流心（中央）,0.15,千葉県,雨,13.8,16,0.76,1.54,0.36,,8,9.4,1.1,7.5,5,,0.79,0.086,0.003,,,,5.60E+02,<0.0003,<0.1,<0.001,<0.005,<0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.34,>30.0,<0.1,0.37,<0.005,,,,,,,0.07,,,,,7.1,,20,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220613,粟倉橋,小糸川上流,B,922,流心（中央）,0.11,千葉県,晴れ,22.6,18.8,0.56,0.73,0.19,,8.2,8.6,1,6.5,2,,1,0.17,,,,,2.50E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.6,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220713,粟倉橋,小糸川上流,B,1000,流心（中央）,0.14,千葉県,曇り,26.3,23.6,0.7,0.43,0.09,,8.2,8.2,1.1,7.5,3,,1.1,0.23,0.002,,,,6.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.63,>30.0,,0.66,,<0.005,<0.01,0.1,<0.1,<0.02,<0.0006,0.06,,,,,7.3,,41,,19,<0.05,<0.002,<0.001,,,,,,<0.004,<0.006,<0.02,<0.0008,<0.0005,<0.0003,<0.004,<0.004,<0.005,<0.0008,<0.0008,<0.003,<0.0008,<0.0001,<0.06,<0.04,<0.006,<0.007,<0.0002,<0.00004,0.03,<0.0002,0.0000005,0.0000005,0.0000078,0.0000076,0.0000083,<0.0006,,,,,
10920,20220810,粟倉橋,小糸川上流,B,918,流心（中央）,0.14,千葉県,晴れ,31.5,25.3,0.7,0.42,0.09,,8.3,7.1,0.8,7,4,,1.2,0.21,,,,,5.00E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.6,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20220914,粟倉橋,小糸川上流,B,950,流心（中央）,0.14,千葉県,晴れ,29.8,24.2,0.71,1.05,0.2,,8.1,7.6,1.1,7.9,4,,0.84,0.098,,,,,2.10E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.4,>30.0,,0.43,,,,,,,,,,,,,7,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20221011,粟倉橋,小糸川上流,B,1145,流心（中央）,0.19,千葉県,晴れ,26.1,19.5,0.96,2.82,0.41,,8.1,8.6,1.6,8.7,8,,0.89,0.068,,,,,2.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.2,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20221108,粟倉橋,小糸川上流,B,946,流心（中央）,0.12,千葉県,晴れ,17.6,12.9,0.61,0.59,0.17,,8.2,9.4,1,6.4,<1,,1.1,0.23,0.001,,,,2.40E+02,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.12,0.04,0.67,>30.0,<0.1,0.71,<0.005,,,,,,,0.14,,,,,2.6,,43,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20221221,粟倉橋,小糸川上流,B,940,流心（中央）,0.13,千葉県,晴れ,9,6.9,0.68,0.16,0.04,,8.2,10,1,5.1,<1,,1.5,0.34,,,,,2.90E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,5.4,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230105,粟倉橋,小糸川上流,B,937,流心（中央）,0.13,千葉県,快晴,7.1,4.9,0.65,0.33,0.08,,8.2,11,1.1,5.8,<1,,1.6,0.32,0.001,,,,1.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.04,1,>30.0,,1.1,,,,,,,,0.22,,,,,7.4,,47,,24,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230208,粟倉橋,小糸川上流,B,1247,流心（中央）,0.1,千葉県,晴れ,10.8,10.5,0.52,0.25,0.07,,8.3,11,1.1,6.1,2,,1.4,0.29,,,,,1.20E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,8.8,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20230303,粟倉橋,小糸川上流,B,1042,流心（中央）,0.11,千葉県,曇り,11.8,10,0.58,0.25,0.06,,8.2,10,1.5,6.8,1,,1.3,0.31,,,,,1.50E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.83,>30.0,,0.87,,,,,,,,,,,,,7.4,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20220516,八千代橋,小糸川下流,C,1030,流心（中央）,0.09,千葉県,雨,14.3,15.8,0.48,2.39,0.67,,8,9,1.2,6.7,16,,0.91,0.12,0.003,,,,5.90E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.44,>30.0,,0.47,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20220713,八千代橋,小糸川下流,C,1033,流心（中央）,0.08,千葉県,曇り,28.1,21.2,0.16,0.82,0.38,,8.1,7.5,1.3,5.6,8,,0.98,0.22,0.003,,,,3.80E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.55,>30.0,,0.58,,,,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20221108,八千代橋,小糸川下流,C,916,流心（中央）,0.11,千葉県,晴れ,18.1,14.1,0.55,1.08,0.41,,8.2,8.8,0.9,5.2,5,,1,0.23,0.001,,,,5.30E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.68,>30.0,,0.71,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10930,20230105,八千代橋,小糸川下流,C,908,流心（中央）,0.07,千葉県,快晴,7.9,8.4,0.14,0.75,0.47,,8.1,10,0.9,4,3,,1.1,0.23,0.002,,,,3.00E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.69,>30.0,,0.72,,,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
