地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,大腸菌群数,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒素,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン生成能,ジブロモクロロメタン生成能,ブロモホルム生成能,クロロホルム,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20190905,東京湾　１,東京湾（９）,B,930,上層（表層）,0.5,千葉県,曇り,28.5,27.3,8.5,,,2.7,8.3,6.2,,3,,,,0.49,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.05,,,0.093,,,,,,,,0.03,2.6,0.04,1.90E+03,6.8,5.1,4.2,,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20190905,東京湾　１,東京湾（９）,B,930,下層,7.5,千葉県,曇り,28.5,23.7,8.5,,,2.7,8.1,1.4,,2.8,,,,0.51,0.088,,,,1.4,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.07,,,0.14,,,,,,,,<0.01,,0.065,,,4.3,4,,28.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191008,東京湾　１,東京湾（９）,B,939,上層（表層）,0.5,千葉県,晴れ,22.2,23.8,8.2,,,2.9,8.2,7.9,,3.2,,,,0.44,0.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.09,,,0.1,,,,,,,,<0.01,2.1,0.016,6.40E+03,21,5,4.1,,30.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191008,東京湾　１,東京湾（９）,B,939,下層,7.2,千葉県,晴れ,22.2,23.7,8.2,,,2.9,8.1,6,,3,,,,0.44,0.065,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.09,,,0.1,,,,,,,,<0.01,,0.039,,,4.3,4,,30.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191107,東京湾　１,東京湾（９）,B,931,上層（表層）,0.5,千葉県,快晴,14,19.5,8.1,,,2.6,8,7.6,,2.1,,2.20E+01,<0.5,0.7,0.047,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.39,,,0.41,,,,,,,,<0.01,1.2,0.024,3.90E+03,6.8,4.1,2.5,,28.8,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191107,東京湾　１,東京湾（９）,B,931,下層,7.1,千葉県,快晴,14,20.7,8.1,,,2.6,7.6,2.1,,1.5,,,,0.62,0.089,0.002,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.3,,,0.31,,,,,,,,<0.01,,0.072,,,2.9,2.3,,31.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191210,東京湾　１,東京湾（９）,B,1006,上層（表層）,0.5,千葉県,曇り,10.3,14.6,7.9,,,4.5,7.8,7.7,,2.2,,,,0.9,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.072,0.39,,,0.46,,,,,,,,0.06,1.5,0.056,1.10E+02,0.8,3.2,3.1,,29.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20191210,東京湾　１,東京湾（９）,B,1006,下層,6.9,千葉県,曇り,10.3,16.3,7.9,,,4.5,7.9,6.7,,1.5,,,,0.57,0.048,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.26,,,0.32,,,,,,,,0.01,,0.041,,,3.5,3.3,,31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200109,東京湾　１,東京湾（９）,B,945,上層（表層）,0.5,千葉県,晴れ,11,12.8,8.2,,,3,7.9,8,,1.9,,1.70E+02,<0.5,0.87,0.058,0.004,<0.00006,<0.0006,,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.047,0.39,,,0.43,<0.005,,,,,,,0.01,1.3,0.044,3.70E+02,1.3,3.7,2.4,,31.46,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20200109,東京湾　１,東京湾（９）,B,945,下層,7.2,千葉県,晴れ,11,12.7,8.2,,,3,7.9,8,,1.8,,,,0.76,0.054,0.005,<0.00006,<0.0006,8,,,,,,,,,,,,,,,,,,,,,,,,,0.043,0.34,,,0.38,,,,,,,,<0.01,,0.039,,,3.8,2.7,,31.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
