地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20220412,東京湾　１,東京湾（９）,B,944,上層（表層）,0.5,千葉県,晴れ,19,16.9,8,,,2.6,8.2,11,,3.4,,,0.91,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.42,,,0.45,,,,,,,,0.01,2.1,0.007,2.80E+03,8.1,1.7,1.4,,27.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220412,東京湾　１,東京湾（９）,B,944,下層,7,千葉県,晴れ,19,14.6,8,,,2.6,8.1,9.1,,2.7,,,0.61,0.042,,,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.23,,,0.25,,,,,,,,0.02,,0.007,,,1.7,1,,31.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220510,東京湾　１,東京湾（９）,B,945,上層（表層）,0.5,千葉県,晴れ,18.2,17.8,8.3,,,3.5,8.3,9.6,,3.7,,<0.5,0.49,0.041,0.002,,,,<1.0E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.19,,,0.21,,,,,,,,0.02,2,0.004,2.30E+03,12,1.6,0.9,,29.1,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220510,東京湾　１,東京湾（９）,B,945,下層,7.3,千葉県,晴れ,18.2,17.3,8.3,,,3.5,8.2,8.4,,2.8,,,0.45,0.045,0.003,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.16,,,0.18,,,,,,,,0.05,,0.01,,,1.4,0.9,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220607,東京湾　１,東京湾（９）,B,930,上層（表層）,0.5,千葉県,曇り,20,21.4,8.6,,,2.6,8.4,7,,4.1,,,0.4,0.052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,0.02,,,0.024,,,,,,,,0.07,3.2,0.018,4.00E+03,12,2.4,1.9,,28.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220607,東京湾　１,東京湾（９）,B,930,下層,7.6,千葉県,曇り,20,17.5,8.6,,,2.6,8.2,0.5,,3.5,,,0.49,0.1,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.02,,,0.025,,,,,,,,0.19,,0.078,,,2.1,1.6,,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220705,東京湾　１,東京湾（９）,B,1009,上層（表層）,0.5,千葉県,晴れ,28,27,8.3,,,1.2,8.5,8.4,,5.4,,<0.5,0.7,0.093,0.003,<0.00006,<0.0006,,7.10E+01,<0.0003,<0.1,<0.001,<0.005,0.002,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.012,0.05,,,0.062,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.01,2.9,0.005,7.10E+03,60,3,1.8,,25.27,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220705,東京湾　１,東京湾（９）,B,1009,下層,7.3,千葉県,晴れ,28,25,8.3,,,1.2,8.2,1.2,,3.2,,,0.6,0.097,0.006,<0.00006,<0.0006,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.006,0.01,,,0.016,,,,,,,,0.11,,0.057,,,1.9,1.5,,28.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220802,東京湾　１,東京湾（９）,B,923,上層（表層）,0.5,千葉県,晴れ,31.5,29.7,8.3,,,1.2,8.8,11,,6,,,0.6,0.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,<0.01,,,0.013,,,,,,,,0.01,3.5,0.004,2.60E+04,75,3,2,,20.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20220802,東京湾　１,東京湾（９）,B,923,下層,7.3,千葉県,晴れ,31.5,26.6,8.3,,,1.2,8.2,1.8,,3.4,,,0.66,0.1,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.01,,,0.013,,,,,,,,0.25,,0.071,,,2,1.7,,26.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
