地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
10920,20240408,粟倉橋,小糸川上流,B,1037,流心（中央）,0.1,千葉県,薄曇り,20.9,15.3,0.5,0.71,0.21,,8.1,9,1,6.5,2,,0.8,0.13,,,,,1.20E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7.2,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240507,粟倉橋,小糸川上流,B,1100,流心（中央）,0.11,千葉県,一時雨,20.3,17.8,0.58,0.2,0.06,,8.1,7.9,1.5,6.6,3,,1.4,0.24,0.002,,,,5.10E+02,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,0.1,0.05,0.67,>30.0,0.1,0.72,<0.005,,,,,,,0.13,,,,,15,,43,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240606,粟倉橋,小糸川上流,B,1030,流心（中央）,0.13,千葉県,晴れ,25.8,19.7,0.69,0.57,0.13,,8.2,8.4,0.6,6.2,2,,1,0.2,,,,,1.50E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,7.2,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240704,粟倉橋,小糸川上流,B,1046,流心（中央）,0.13,千葉県,晴れ,32.8,24.8,0.65,0.68,0.17,,8.1,7.2,1,6.3,3,,1,0.15,0.001,,,,5.20E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.57,>30.0,,0.6,,<0.005,<0.01,0.1,<0.1,<0.02,,0.11,,,,,9.9,,33,,12,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240808,粟倉橋,小糸川上流,B,921,流心（中央）,0.14,千葉県,晴れ,31.7,24.7,0.7,0.7,0.16,,8.2,7.3,0.9,7.7,2,,1,0.16,,,,,2.60E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.9,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20240905,粟倉橋,小糸川上流,B,1049,流心（中央）,0.13,千葉県,晴れ,30,24.6,0.65,1.61,0.33,,8,7.4,1.2,7.8,5,,0.85,0.083,,,,,1.20E+02,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.45,>30.0,,0.48,,,,,,,,,,,,,7.8,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20241001,粟倉橋,小糸川上流,B,1120,流心（中央）,0.25,千葉県,一時雨,22.4,21.5,1.29,4.99,0.55,,7.9,7.6,1.7,10,23,,1,0.081,,,,,4.40E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,8.2,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20241101,粟倉橋,小糸川上流,B,1005,流心（中央）,0.18,千葉県,晴れ,21.3,17,0.91,2.99,0.43,,8,9,1.3,7.7,8,,0.93,0.067,0.003,,,,1.40E+02,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,<0.08,<0.03,0.47,>30.0,<0.1,0.5,<0.005,,,,,,,0.05,,,,,10,,23,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20241203,粟倉橋,小糸川上流,B,1025,流心（中央）,0.13,千葉県,晴れ,12.9,10.7,0.67,1.43,0.29,,8,9.9,1,7,3,,0.84,0.09,,,,,2.20E+02,,,,,,,,,,,,,,,,,,,,,,,,,,,>30.0,,,,,,,,,,,,,,,6.1,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10920,20250114,粟倉橋,小糸川上流,B,1020,流心（中央）,0.13,千葉県,晴れ,11.5,6,0.67,0.71,0.15,,8.1,11,0.7,6.2,<1,,1,0.17,<0.001,,,,6.90E+01,,,,,,,,,,,,,,,,,,,,,,,,,<0.03,0.61,>30.0,,0.64,,,,,,,,0.16,,,,,7.8,,49,,38,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
