地点コード,測定年月日,地点名称(漢字),水域名称(漢字),類型,測定時刻,採取位置,採取水深,調査機関,天候コード,気温,水温,全水深,流量(河川),平均流速(河川),透明度（湖沼・海域）,ｐＨ,ＤＯ,ＢＯＤ,ＣＯＤ,ＳＳ,n-ヘキサン抽出物質,全窒素,全リン,全亜鉛,ノニルフェノール,ＬＡＳ,底層ＤＯ,大腸菌数,カドミウム,全シアン,鉛,六価クロム,砒素,総水銀,アルキル水銀,ＰＣＢ,ジクロロメタン,四塩化炭素,１、２-ジクロロエタン,１、１-ジクロロエチレン,シス-１、２-ジクロロエチレン,１、１、１-トリクロロエタン,１、１、２-トリクロロエタン,トリクロロエチレン,テトラクロロエチレン,１、３-ジクロロプロペン,チウラム,シマジン,チオベンカルブ,ベンゼン,セレン,ふっ素,亜硝酸性窒,硝酸性窒素,透視度(河川･湖沼),ほう素,硝酸性窒素及び亜硝酸性窒素,１、４-ジオキサン,フェノール類,銅,溶解性鉄,溶解性マンガン,クロム,ＥＰＮ,アンモニア性窒素,溶解性ＣＯＤ,リン酸性リン,プランクトン総数,クロロフィルａ,ＴＯＣ,ＤＯＣ,電気伝導率,塩分量(海域),塩化物イオン,陰イオン界面活性剤,アンチモン,ニッケル,トリハロメタン生成能,クロロホルム生成能,ブロモジクロロメタン,ジブロモクロロメタン,ブロモホルム生成能,トランス-1、2-ジクロロエチレン,１、２-ジクロロプロパン,p-ジクロロベンゼン,イソキサチオン,ダイアジノン,フェニトロチオン,イソプロチオラン,オキシン銅,クロロタロニル,プロピザミド,ジクロルボス,フェノブカルブ,イプロベンホス,クロルニトロフェン,トルエン,キシレン,フタル酸ジエチルへキシル,モリブデン,塩化ビニルモノマー,エピクロロヒドリン,全マンガン,ウラン,ＰＦОＳ,ＰＦОＳ（直鎖体）,ＰＦОＡ,ＰＦОＡ（直鎖体）,ＰＦОＳ及びＰＦОＡ,クロロホルム,フェノール,ホルムアルデヒド,４-ｔ-オクチルフェノール,アニリン,２、４-ジクロロフェノール
30010,20240415,東京湾　１,東京湾（９）,B,1045,上層（表層）,0.5,千葉県,快晴,18,16.1,8.2,,,2.4,8.2,11,,3.8,,,1.1,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,0.64,,,0.67,,,,,,,,0.01,2.9,0.012,5.40E+03,11,2.1,1.4,,25.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240415,東京湾　１,東京湾（９）,B,1045,下層,7.2,千葉県,快晴,18,13.5,8.2,,,2.4,8,4.8,,3.1,,,0.6,0.057,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.18,,,0.2,,,,,,,,0.07,,0.019,,,1.8,1.2,,31.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240508,東京湾　１,東京湾（９）,B,1056,上層（表層）,0.5,千葉県,晴れ,21,20.7,7.2,,,1.7,8.1,9.6,,4.7,,<0.5,0.68,0.049,0.002,,,,2.00E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.19,,,0.22,,,,,,,,0.02,3.5,0.012,7.60E+03,24,2.9,1.8,,27.27,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240508,東京湾　１,東京湾（９）,B,1056,下層,6.2,千葉県,晴れ,21,19,7.2,,,1.7,8.2,7.1,,4.6,,,0.58,0.051,0.002,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.09,,,0.12,,,,,,,,0.01,,0.009,,,2.9,1.9,,28.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240603,東京湾　１,東京湾（９）,B,1035,上層（表層）,0.5,千葉県,晴れ,18.5,21.8,8,,,1.8,8.3,7.3,,4.4,,,0.79,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.23,,,0.24,,,,,,,,0.06,3,0.024,4.00E+03,22,2.3,1.8,,26.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240603,東京湾　１,東京湾（９）,B,1035,下層,7,千葉県,晴れ,18.5,18.5,8,,,1.8,7.9,0.9,,2.2,,,0.64,0.1,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.08,,,0.099,,,,,,,,0.19,,0.081,,,1.4,1.2,,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240708,東京湾　１,東京湾（９）,B,1124,上層（表層）,0.5,千葉県,晴れ,28,28.7,7.6,,,1,8.7,13,,7.6,,<0.5,0.84,0.11,0.001,<0.00006,<0.0006,,4.00E+00,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,<0.0005,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.012,0.01,,,0.025,<0.005,<0.005,<0.01,<0.1,<0.1,<0.02,,0.03,3.6,0.005,5.50E+04,100,4.3,1.9,,22.28,,<0.05,,<0.001,,,,,,,,,,,,,,,,,,,,,,,0.009,,,0.03,0.0016,0.000013,0.000013,0.000002,0.0000018,0.000015,<0.008,<0.02,<0.003,<0.00004,<0.002,<0.001
30010,20240708,東京湾　１,東京湾（９）,B,1124,下層,6.6,千葉県,晴れ,28,22.8,7.6,,,1,8.1,2.2,,4,,,0.6,0.088,0.003,<0.00006,<0.0006,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,0.11,,,0.14,,,,,,,,0.09,,0.043,,,2.2,1.5,,27.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240805,東京湾　１,東京湾（９）,B,1110,上層（表層）,0.5,千葉県,晴れ,30,31.4,7,,,1.9,8.7,9.5,,5.9,,,0.5,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,<0.01,,,<0.012,,,,,,,,0.03,3.7,0.012,4.30E+03,6.7,3.3,2.2,,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240805,東京湾　１,東京湾（９）,B,1110,下層,6,千葉県,晴れ,30,27.8,7,,,1.9,8.4,3.7,,4.5,,,0.53,0.068,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,<0.002,<0.01,,,<0.012,,,,,,,,0.06,,0.021,,,2.7,2,,26.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240902,東京湾　１,東京湾（９）,B,1144,上層（表層）,0.5,千葉県,晴れ,26.5,26.8,7.5,,,1,7.5,7.6,,4.5,,,1.9,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,1.2,,,1.2,,,,,,,,0.14,3.3,0.077,3.10E+03,8.7,2.1,1.7,,4.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20240902,東京湾　１,東京湾（９）,B,1144,下層,6.5,千葉県,晴れ,26.5,28.1,7.5,,,1,8.4,2.2,,3.8,,,0.91,0.066,,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.38,,,0.4,,,,,,,,0.06,,0.031,,,2.2,1.7,,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241007,東京湾　１,東京湾（９）,B,1052,上層（表層）,0.5,千葉県,晴れ,27,24.5,8,,,2.7,8.3,8.2,,3.4,,,0.61,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018,0.18,,,0.2,,,,,,,,0.06,1.9,0.029,2.90E+03,13,1.8,1.4,,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241007,東京湾　１,東京湾（９）,B,1052,下層,7,千葉県,晴れ,27,23.3,8,,,2.7,7.9,2.3,,1.7,,,0.57,0.094,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.06,,,0.1,,,,,,,,0.15,,0.075,,,1.5,1.3,,30.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241120,東京湾　１,東京湾（９）,B,1115,上層（表層）,0.5,千葉県,曇り,8,18.6,8.4,,,3.9,7.9,6.7,,2.2,,<0.5,0.63,0.062,0.001,,,,<1.0E+00,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.32,,,0.36,,,,,,,,0.03,1.4,0.045,9.20E+02,7.9,1.2,1,,31.32,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241120,東京湾　１,東京湾（９）,B,1115,下層,7.4,千葉県,曇り,8,18.8,8.4,,,3.9,7.9,5.8,,1.6,,,0.53,0.053,0.003,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.27,,,0.31,,,,,,,,0.04,,0.043,,,1,1,,31.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241202,東京湾　１,東京湾（９）,B,1104,上層（表層）,0.5,千葉県,晴れ,14,15.8,8.2,,,3.8,7.9,8.1,,1.9,,,0.58,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.25,,,0.3,,,,,,,,0.05,1.4,0.039,1.80E+03,7.3,1.4,1,,31.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20241202,東京湾　１,東京湾（９）,B,1104,下層,7.2,千葉県,晴れ,14,16.2,8.2,,,3.8,7.9,7.3,,1.1,,,0.54,0.051,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.24,,,0.29,,,,,,,,0.04,,0.04,,,1.4,1.1,,31.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250106,東京湾　１,東京湾（９）,B,1102,上層（表層）,0.5,千葉県,晴れ,6.5,9.3,8.7,,,4.7,8,10,,2,,<0.5,0.77,0.049,0.003,<0.00006,<0.0006,,<1.0E+00,<0.0003,<0.1,<0.001,<0.005,0.001,<0.0005,,,<0.002,<0.0002,<0.0004,<0.01,<0.004,<0.1,<0.0006,<0.001,<0.001,<0.0002,<0.0006,<0.0003,<0.002,<0.001,<0.001,,0.052,0.43,,,0.49,<0.005,,,,,,,0.03,1.5,0.031,2.90E+03,5.6,1.5,1,,31.07,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250106,東京湾　１,東京湾（９）,B,1102,下層,7.7,千葉県,晴れ,6.5,12.1,8.7,,,4.7,8,8.6,,2.2,,,0.76,0.049,0.004,<0.00006,<0.0006,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.42,,,0.47,,,,,,,,0.02,,0.029,,,1.6,1,,31.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250203,東京湾　１,東京湾（９）,B,1051,上層（表層）,0.5,千葉県,曇り,6,10.2,8.8,,,3.8,8,9.4,,1.5,,,0.82,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.39,,,0.43,,,,,,,,0.08,1.4,0.025,1.10E+03,4.9,1.4,1.1,,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250203,東京湾　１,東京湾（９）,B,1051,下層,7.8,千葉県,曇り,6,10.9,8.8,,,3.8,8,8.4,,1.5,,,0.66,0.048,,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.27,,,0.3,,,,,,,,0.07,,0.021,,,1.1,1,,32.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250310,東京湾　１,東京湾（９）,B,1040,上層（表層）,0.5,千葉県,快晴,11.5,10.2,8.1,,,2.7,8.2,11,,3.3,,,0.61,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.24,,,0.26,,,,,,,,0.07,1.7,0.003,4.00E+03,22,2,1.2,,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30010,20250310,東京湾　１,東京湾（９）,B,1040,下層,7.1,千葉県,快晴,11.5,10.3,8.1,,,2.7,8.2,9.5,,2.3,,,0.63,0.033,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,0.24,,,0.26,,,,,,,,0.06,,0.007,,,1.6,1.2,,31.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20240415,東京湾　２,東京湾（４）,C,1004,上層（表層）,0.5,千葉県,快晴,18,16.8,6.8,,,2.2,8,7,,4.2,,,0.88,0.095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023,0.33,,,0.35,,,,,,,,0.04,2.6,0.032,,18,2.1,1.6,,29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20240415,東京湾　２,東京湾（４）,C,1004,下層,5.8,千葉県,快晴,18,13.7,6.8,,,2.2,7.9,4.3,,3.2,,,0.7,0.079,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,0.24,,,0.26,,,,,,,,0.08,,0.028,,,1.9,1.3,,30.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30020,20240508,東京湾　２,東京湾（４）,C,1010,上層（表層）,0.5,千葉県,晴れ,20,20.8,5.7,,,1.8,7.7,5.1,,4.4,,<0.5,1.2,0.13,0.004,,,,3.10E+02,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.5,,,0.56,,,,,,,,0.21,3,0.1,,6.7,2,1.6,,24.25,,<0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
